circuit_name,Human C1-esterase inhibitor,Conestat alfa,Sutimlimab,Dasatinib,Somatotropin,Pegvisomant,Lonapegsomatropin,Dacomitinib,Lapatinib,Amivantamab,Panitumumab,Necitumumab,Erlotinib,Gefitinib,Osimertinib,Mobocertinib,Afatinib,Neratinib,Cetuximab,Brigatinib,Thiamylal,Gliquidone,Levosimendan,Creatine,Triamterene,Amiloride,Stiripentol,Nisoldipine,Nitrendipine,Gabapentin,Felodipine,Nilvadipine,Isradipine,Nicardipine,Pregabalin,Lenvatinib,Nintedanib,Tasonermin,Foreskin keratinocyte (neonatal),Olaratumab,Methotrexate,Pemetrexed,Bortezomib,Carfilzomib,Regorafenib,Ripretinib,Sunitinib,Pazopanib,Midostaurin,Imatinib,Belzutifan,Tivozanib,Sorafenib,Becaplermin,Paclitaxel,Docetaxel,Collagenase clostridium histolyticum,Levetiracetam,Ziconotide,Pitolisant,Betahistine,Histamine,Sapropterin,Filgotinib,Ruxolitinib,Upadacitinib,Abrocitinib,Tofacitinib,Baricitinib,Pemigatinib,Futibatinib,Infigratinib,Erdafitinib,Antithymocyte immunoglobulin (rabbit),Nicorandil,Dalteparin,Andexanet alfa,Triflusal,Varenicline,Nicotine,Bumetanide,Trilaciclib,Abemaciclib,Ribociclib,Palbociclib
Tight junction: TJP1 YBX3 CDK4,0.4164743123585617,0.4164743123585617,0.5554015298426764,0.4031742274021263,0.3313467998912211,0.3313467998912211,0.3313467998912211,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.47278074042266,0.47278074042266,0.47278074042266,0.0,0.0,0.0,0.2236547265718862,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.3800092477524709,0.3316616754652023,0.2369624932753255,0.5343961079862034,0.4337865483950323,0.3299610757673483,0.3299610757673483,0.2650619484928073,0.2650619484928073,0.35730910222927453,0.3343765396428487,0.3343765396428487,0.3343765396428487,0.3343765396428487,0.3343765396428487,0.4325780578856508,0.2349665308906651,0.2349665308906651,0.2349665308906651,0.1913469257757572,0.1913469257757572,0.2620508985017917,0.1634588837707949,0.1634588837707949,0.0,0.0,0.0,0.2029379560750855,0.3670266016209073,0.3670266016209073,0.3670266016209073,0.3670266016209073,0.3670266016209073,0.3670266016209073,0.3262319471099096,0.3262319471099096,0.3262319471099096,0.3262319471099096,0.7751313250897823,0.8367676229279344,0.4049069638022331,0.4049069638022331,0.4858198746262496,0.4312507759096912,0.4312507759096912,0.4640448566996026,1.0,1.0,1.0,1.0
p53 signaling pathway: CASP3,0.28889875773759977,0.28889875773759977,0.5777975154751995,0.5192645549809402,0.5362667377189374,0.5362667377189374,0.5362667377189374,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.5802784295032911,0.5802784295032911,0.5802784295032911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1287015829793327,0.0,0.3966537158172192,0.0,0.0,0.0,0.0,0.0,0.30178976797297946,0.19305237446899906,0.19305237446899906,0.19305237446899906,0.19305237446899906,0.19305237446899906,0.495061141308248,0.3861047489379981,0.3861047489379981,0.3861047489379981,0.4932092940068432,0.4932092940068432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4182196812982978,1.0,0.0,0.0,0.0,0.0,0.0,0.993118183475454,0.6476177366422474,0.6476177366422474,0.6476177366422474,0.6476177366422474
p53 signaling pathway: IGF1,0.5053263557549755,0.5053263557549755,0.5606977666187293,0.3303511967674393,0.5352025449691912,0.5352025449691912,0.5352025449691912,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3852045521655277,0.3852045521655277,0.3852045521655277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2867830245667451,0.19118868304449674,0.355318383523633,0.17937962124150206,0.0,0.0,0.0,0.0,0.0,0.11011706558914643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4740130648799783,0.3817665734220457,0.3817665734220457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5735660491334902,0.5735660491334902,0.5735660491334902,0.5735660491334902,0.798354301008912,0.8655721243754617,0.8326034804211386,0.8326034804211386,0.8063985647298785,0.6953061768618083,0.6953061768618083,1.0,0.6522976121814965,0.6522976121814965,0.6522976121814965,0.6522976121814965
p53 signaling pathway: ADGRB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24709534440952116,0.16473022960634745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4020835131166337,0.5752135885765529,0.5752135885765529,0.4847785852671992,0.4847785852671992,0.4847785852671992,0.402922629244943,0.4376080336919163,0.4376080336919163,0.4376080336919163,0.4376080336919163,0.4376080336919163,0.4376080336919163,0.4941906888190423,0.4941906888190423,0.4941906888190423,0.4941906888190423,0.6890000816057245,0.9368686115553058,1.0,1.0,0.9705687970258808,0.8619633864449399,0.8619633864449399,0.7335716248390657,0.4731111918162091,0.4731111918162091,0.4731111918162091,0.4731111918162091
PI3K-Akt signaling pathway: CCND1 CDK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8543309248430525,0.8543309248430525,1.0,0.9086717240231216,0.9086717240231216,0.6436354575094108,0.7239475440109048,0.7239475440109048,0.7239475440109048,0.7239475440109048
p53 signaling pathway: PIDD1,0.0,0.0,0.0,0.0,2.7258571218584235e-16,2.7258571218584235e-16,2.7258571218584235e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8539776245413476e-16,3.8539776245413476e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.181034074009138e-16,3.4079303530786284e-16,3.044843768133068e-16,3.044843768133068e-16,5.39747378497463e-16,4.444071301853931e-16,4.444071301853931e-16,4.812334374725446e-16,0.0,0.0,0.0,0.0
p53 signaling pathway: GADD45G,0.0,0.0,0.0,0.0,4.298222363438018e-16,4.298222363438018e-16,4.298222363438018e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.117762320180443e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559657944910098e-16,4.559657944910098e-16,0.0,0.0,0.0,0.0,6.03494094889958e-16,6.03494094889958e-16,6.03494094889958e-16,6.03494094889958e-16,6.03494094889958e-16,6.03494094889958e-16,0.0,0.0,0.0,0.0,6.208493264688077e-16,7.617649862751174e-16,5.52608128334798e-16,5.52608128334798e-16,8.418589324304674e-16,6.224620413069671e-16,6.224620413069671e-16,8.519102585584089e-16,6.105332894440829e-16,6.105332894440829e-16,6.105332894440829e-16,6.105332894440829e-16
p53 signaling pathway: RFWD2,0.0,0.0,0.0,0.0,2.687121506183955e-16,2.687121506183955e-16,2.687121506183955e-16,2.219201236145505e-16,2.219201236145505e-16,2.219201236145505e-16,2.219201236145505e-16,2.219201236145505e-16,2.219201236145505e-16,2.219201236145505e-16,2.219201236145505e-16,2.219201236145505e-16,2.219201236145505e-16,2.219201236145505e-16,2.219201236145505e-16,2.219201236145505e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1096006180727525e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.703644023646436e-16,3.703644023646436e-16,0.0,0.0,0.0,2.701254766407669e-16,4.729378967914048e-16,4.729378967914048e-16,4.729378967914048e-16,4.729378967914048e-16,4.729378967914048e-16,4.729378967914048e-16,0.0,0.0,0.0,0.0,2.397354433654177e-16,4.209651164854133e-16,3.205977296585915e-16,3.205977296585915e-16,6.232971681780135e-16,4.937828873104606e-16,4.937828873104606e-16,4.0648912022579273e-16,4.1522036539158247e-16,4.1522036539158247e-16,4.1522036539158247e-16,4.1522036539158247e-16
p53 signaling pathway: PTEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.445026031161959e-16,4.445026031161959e-16,0.0,0.0,0.0,0.0,5.483974680624436e-16,5.483974680624436e-16,5.483974680624436e-16,5.483974680624436e-16,5.483974680624436e-16,5.483974680624436e-16,0.0,0.0,0.0,0.0,3.8451955939529854e-16,6.4702417029518105e-16,4.3786764019438443e-16,4.3786764019438443e-16,7.171319244158936e-16,5.892292048790311e-16,5.892292048790311e-16,6.080664555989847e-16,4.670883192495096e-16,4.670883192495096e-16,4.670883192495096e-16,4.670883192495096e-16
p53 signaling pathway: RRM2B,0.0,0.0,0.0,0.0,2.637726719909389e-16,2.637726719909389e-16,2.637726719909389e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.416243089782618e-16,3.416243089782618e-16,0.0,0.0,0.0,0.0,3.918578512712205e-16,3.918578512712205e-16,3.918578512712205e-16,3.918578512712205e-16,3.918578512712205e-16,3.918578512712205e-16,0.0,0.0,0.0,0.0,0.0,3.946609196003615e-16,3.267987356931116e-16,3.267987356931116e-16,5.46027489321828e-16,4.079715839308789e-16,4.079715839308789e-16,3.6803138816719024e-16,3.611844641850048e-16,3.611844641850048e-16,3.611844641850048e-16,3.611844641850048e-16
