circuit_name,Certolizumab pegol,Etanercept,Infliximab,Adalimumab,Pomalidomide,Golimumab,Foreskin keratinocyte (neonatal),Glycyrrhizic acid,Zonisamide,Omega-3-carboxylic acids,Tyloxapol,Doconexent,Pioglitazone,Telmisartan,Bezafibrate,Rosiglitazone,Icosapent,Omega-3 fatty acids,Triflusal,Fluocinolone acetonide,Varenicline,Nicotine,Bumetanide,Levetiracetam,Ziconotide,Niacin,Gallium nitrate,Canakinumab,Dronabinol,Nabilone,Tofacitinib,Baricitinib,Sargramostim,Muromonab,Carfilzomib,Balsalazide,Mesalazine,Deucravacitinib,Ruxolitinib,Peginterferon alfa-2b,Interferon alfa-n3,Nylidrin,Interferon beta-1b,Interferon alfa-2a,Interferon alfacon-1,Interferon alfa-n1,Peginterferon alfa-2a,Interferon alfa-2b,Interferon beta-1a,Elotuzumab,Aldesleukin,Denileukin diftitox,Alemtuzumab,Dasatinib,Lipegfilgrastim,Pegfilgrastim,Filgrastim,Lenograstim,Eflapegrastim,Sulfasalazine,Diethylcarbamazine,Meclofenamic acid,Masoprocol,Acalabrutinib,Zanubrutinib,Ibrutinib,Lifitegrast,Antithymocyte immunoglobulin (rabbit),Idelalisib,Copanlisib,Duvelisib
mTOR signaling pathway,0.8775252880328877,0.8775252880328877,0.8775252880328877,0.8775252880328877,0.8775252880328877,0.8775252880328877,0.4387626440164438,0.644424926752126,0.7677753313602547,0.4113245654713644,0.4113245654713644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29693569817869125,0.29693569817869125,0.5236355619630689,0.26181778098153446,0.4370069502324403,0.4370069502324403,0.4370069502324403,0.4370069502324403,0.4370069502324403,0.4370069502324403,0.4370069502324403,0.4370069502324403,0.4370069502324403,0.4370069502324403,0.0,0.6990314985000452,0.3980629970000904,0.5482333459953334,0.5622803144812588,0.5858944628683689,0.5858944628683689,0.5858944628683689,0.5858944628683689,0.5858944628683689,0.5938713963573825,0.5938713963573825,0.5938713963573825,0.5938713963573825,0.6569838976468421,0.6569838976468421,0.6569838976468421,0.8749818111034843,0.8749818111034843,0.875430977150581,0.875430977150581,0.875430977150581
MAPK signaling pathway,0.7982513998016387,0.7982513998016387,0.7982513998016387,0.7982513998016387,0.7982513998016387,0.7982513998016387,0.42807233713727,0.4635055457950257,0.269935706563079,0.12875969178841265,0.12875969178841265,0.1673584055043617,0.1673584055043617,0.1673584055043617,0.1673584055043617,0.1673584055043617,0.1673584055043617,0.1673584055043617,0.5432709523701564,0.37945839125500525,0.3492456529756499,0.3492456529756499,0.38695249947711785,0.3911371832160883,0.3911371832160883,0.2020686648169699,0.05789327447290138,0.05789327447290138,0.00539008868472019,0.00539008868472019,0.01855018963833765,0.01855018963833765,0.06721997097788325,0.02632839644663859,0.023651535978395886,0.13877181409172087,0.13877181409172087,0.034797382198528196,0.02667378591843292,0.02151148408672909,0.02151148408672909,0.02151148408672909,0.02151148408672909,0.02151148408672909,0.02151148408672909,0.02151148408672909,0.02151148408672909,0.02151148408672909,0.02151148408672909,0.15402703456679104,0.27892088191071107,0.21953684992489936,0.08247922232023733,0.07869843032648957,0.127183664133158,0.127183664133158,0.127183664133158,0.127183664133158,0.127183664133158,0.11018522267908004,0.11018522267908004,0.11018522267908004,0.11018522267908004,0.07406974754337833,0.07406974754337833,0.07406974754337833,0.12265325531896994,0.12265325531896994,0.10457400358610895,0.10457400358610895,0.10457400358610895
Type II diabetes mellitus,0.6150349966874035,0.6150349966874035,0.6150349966874035,0.6150349966874035,0.6150349966874035,0.6150349966874035,0.32290453532882696,0.5575174983437017,0.29847693798847136,0.5,0.5,0.36953719235874094,0.36953719235874094,0.36953719235874094,0.36953719235874094,0.36953719235874094,0.36953719235874094,0.36953719235874094,0.11203087569077035,0.10625252021233805,0.08965665821292194,0.08965665821292194,0.10136057937475736,0.100727260353327,0.100727260353327,0.1054989825331481,0.0307740739702505,0.0307740739702505,0.0184993944939562,0.0184993944939562,0.0,0.0,0.02434832355147505,0.01928209081124175,0.013937453957694825,0.19871655994117515,0.19871655994117515,0.02354654124200285,0.011773270621001425,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0533254303686999,0.08789704458111997,0.08534991719833575,0.04751251639692275,0.0482968615317245,0.0206296928066875,0.0206296928066875,0.0206296928066875,0.0206296928066875,0.0206296928066875,0.02789592752360935,0.02789592752360935,0.02789592752360935,0.02789592752360935,0.0379458855018523,0.0379458855018523,0.0379458855018523,0.16433784977116225,0.16433784977116225,0.053055520370024,0.053055520370024,0.053055520370024
Adipocytokine signaling pathway,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5576817197924473,0.2288001394583187,0.1153634395848945,0.1153634395848945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1225594580206343,0.0,0.0,0.0632310888984674,0.0632310888984674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206191254544889,0.29211702211329027,0.2511684730613223,0.1988318638811186,0.1538440434662661,0.1149894382286434,0.1149894382286434,0.1149894382286434,0.1149894382286434,0.1149894382286434,0.1264621777969348,0.1264621777969348,0.1264621777969348,0.1264621777969348,0.1128548988135005,0.1128548988135005,0.1128548988135005,0.2294699688459925,0.2294699688459925,0.1611686107222501,0.1611686107222501,0.1611686107222501
Herpes simplex infection,1.0,1.0,1.0,1.0,1.0,1.0,0.5408602783145975,0.5165262830718163,0.02608511197613885,0.03305256614363245,0.03305256614363245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284185147722303,0.05810963142663325,0.0,0.0,0.0,0.0,0.0,0.06549361026198315,0.08172055662919515,0.08172055662919515,0.07970973415722155,0.07970973415722155,0.07009281333338274,0.07009281333338274,0.0901359764820584,0.10794755936014006,0.09554813422281075,0.0611903192845772,0.0611903192845772,0.12265426655288066,0.09637353994313169,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.23337593933987044,0.36857641734070523,0.3439084852312646,0.19273628370584114,0.2119044490360572,0.1254121404618211,0.1254121404618211,0.1254121404618211,0.1254121404618211,0.1254121404618211,0.1223806385691544,0.1223806385691544,0.1223806385691544,0.1223806385691544,0.14678360423863984,0.14678360423863984,0.14678360423863984,0.2824147823828451,0.2824147823828451,0.2162359533793283,0.2162359533793283,0.2162359533793283
Non-alcoholic fatty liver disease (NAFLD),1.0,1.0,1.0,1.0,1.0,1.0,0.544625031120847,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03493973126319783,0.012263808464399098,0.0,0.0,0.0,0.0,0.0,0.08132956120089356,0.08925006224169396,0.08925006224169396,0.08329131641460463,0.08329131641460463,0.08472043110074297,0.08472043110074297,0.10813792128914475,0.1272115937897277,0.10051612494705901,0.07261794257905088,0.07261794257905088,0.1314442418493643,0.10808233647505365,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.2336151314742092,0.397366140217463,0.3643155161349367,0.20618505349460003,0.2501960894743196,0.15510016940277738,0.15510016940277738,0.15510016940277738,0.15510016940277738,0.15510016940277738,0.14523588515810176,0.14523588515810176,0.14523588515810176,0.14523588515810176,0.1640052154945539,0.1640052154945539,0.1640052154945539,0.33160576645616757,0.33160576645616757,0.254546167590789,0.254546167590789,0.254546167590789
Chagas disease (American trypanosomiasis),1.0,1.0,1.0,1.0,1.0,1.0,0.5426296789907473,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756616686008168,0.0732999738768428,0.0,0.0,0.0,0.0,0.0,0.0857991294402497,0.0852593579814946,0.0852593579814946,0.083083228086709,0.083083228086709,0.0915649107046131,0.0915649107046131,0.1155188019807102,0.1141400109501854,0.10324736032045806,0.0863708500660393,0.0863708500660393,0.1571091278667815,0.12433701928569729,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.2092321154012285,0.363543552394587,0.3157825026823933,0.2007882398651884,0.2145710350320275,0.2072606487148575,0.2072606487148575,0.2072606487148575,0.2072606487148575,0.2072606487148575,0.1727417001320786,0.1727417001320786,0.1727417001320786,0.1727417001320786,0.1723633399772388,0.1723633399772388,0.1723633399772388,0.3176479237681345,0.3176479237681345,0.2685807543137743,0.2685807543137743,0.2685807543137743
Hepatitis B,1.0,1.0,1.0,1.0,1.0,1.0,0.5467519614999647,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0612158230504912,0.0564350593140727,0.0,0.0,0.0,0.0,0.0,0.08134885111825815,0.0935039229999294,0.0935039229999294,0.069107103195036,0.069107103195036,0.0891179383590325,0.0891179383590325,0.1105060195502639,0.0823748510228094,0.0795911364282913,0.0912109200716548,0.0912109200716548,0.1511221674922198,0.12012005292562615,0.1126119337259045,0.1126119337259045,0.1126119337259045,0.1126119337259045,0.1126119337259045,0.1126119337259045,0.1126119337259045,0.1126119337259045,0.1126119337259045,0.1126119337259045,0.1364145226107697,0.267401168230028,0.1993140534660442,0.1630773978021204,0.1567799855074045,0.2330320605104078,0.2330320605104078,0.2330320605104078,0.2330320605104078,0.2330320605104078,0.1824218401433096,0.1824218401433096,0.1824218401433096,0.1824218401433096,0.1669350461796383,0.1669350461796383,0.1669350461796383,0.271358145207514,0.271358145207514,0.2440819944848862,0.2440819944848862,0.2440819944848862
Osteoclast differentiation,1.0,1.0,1.0,1.0,1.0,1.0,0.5971683117743385,0.52873677809391,0.0,0.0574735561878199,0.0574735561878199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04468203529033142,0.039972862777658776,0.0,0.0,0.0,0.0,0.0,0.13754611792671398,0.194336623548677,0.194336623548677,0.0,0.0,0.016829117731854325,0.016829117731854325,0.11214399753389302,0.0,0.04891404538172772,0.07067214019763815,0.07067214019763815,0.09429218730543723,0.055560652518645774,0.0818097211061862,0.0818097211061862,0.0818097211061862,0.0818097211061862,0.0818097211061862,0.0818097211061862,0.0818097211061862,0.0818097211061862,0.0818097211061862,0.0818097211061862,0.18419207552485084,0.261136116784571,0.21708627770849476,0.14863956213557716,0.09291070630823335,0.15964211866710012,0.15964211866710012,0.15964211866710012,0.15964211866710012,0.15964211866710012,0.1413442803952763,0.1413442803952763,0.1413442803952763,0.1413442803952763,0.13139780576833485,0.13139780576833485,0.13139780576833485,0.1855583944244683,0.1855583944244683,0.1682234657569726,0.1682234657569726,0.1682234657569726
TNF signaling pathway,1.0,1.0,1.0,1.0,1.0,1.0,0.5369968544710241,0.509929356917322,0.0,0.019858713834644,0.019858713834644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056037598524366565,0.04186253937645393,0.013894441703824317,0.013894441703824317,0.0,0.014058346913403746,0.014058346913403746,0.08218998837033652,0.07399370894204828,0.07399370894204828,0.05731466745732164,0.05731466745732164,0.06659737437878266,0.06659737437878266,0.0898268384422314,0.06475123953947409,0.0706433730306578,0.061071448538974546,0.061071448538974546,0.10949367357981407,0.08804552397929837,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.13315482173777823,0.25995498928568905,0.21932872538026382,0.14868141084399217,0.15884330494798682,0.13808830268305927,0.13808830268305927,0.13808830268305927,0.13808830268305927,0.13808830268305927,0.12214289707794909,0.12214289707794909,0.12214289707794909,0.12214289707794909,0.1307730442323018,0.1307730442323018,0.1307730442323018,0.2304791025686125,0.2304791025686125,0.20718579250371147,0.20718579250371147,0.20718579250371147
