Marital status,Application mode,Application order,Course,evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Unemployment rate,Inflation rate,GDP,Output
1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,10.8,1.4,1.74,1
1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,0,13.9,-0.3,0.79,0
1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,10.8,1.4,1.74,1
1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,9.4,-0.8,-3.12,0
2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,45,0,13.9,-0.3,0.79,0
2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,16.2,0.3,-0.92,0
1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,0,15.5,2.8,-4.06,0
1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,15.5,2.8,-4.06,1
1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,21,1,16.2,0.3,-0.92,0
1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,0,8.9,1.4,3.51,1
1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,0
1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,0
1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,12.7,3.7,-1.7,1
1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,21,0,8.9,1.4,3.51,0
1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,0,10.8,1.4,1.74,0
1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,20,0,15.5,2.8,-4.06,1
1,9,1,10,1,1,1,13,28,6,9,1,0,0,1,0,0,18,0,10.8,1.4,1.74,0
1,8,2,12,1,1,1,13,1,6,5,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,0
1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,0,20,0,10.8,1.4,1.74,0
1,1,1,16,1,1,1,13,14,8,8,1,0,0,1,0,0,18,0,16.2,0.3,-0.92,0
1,1,3,2,1,1,1,1,1,10,9,0,0,0,1,0,1,21,0,11.1,0.6,2.02,0
1,9,4,13,1,1,1,1,28,5,8,1,0,0,1,0,0,20,0,12.7,3.7,-1.7,0
1,1,4,12,1,1,1,13,14,2,2,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,0
1,1,4,14,1,1,1,1,28,5,8,1,0,0,1,0,1,19,0,11.1,0.6,2.02,0
1,1,1,12,1,1,1,13,14,4,8,0,0,0,1,0,0,19,0,11.1,0.6,2.02,0
1,1,1,10,1,1,1,13,28,10,10,1,0,1,1,0,1,18,0,7.6,2.6,0.32,0
1,8,2,10,1,1,1,13,28,8,9,1,0,0,1,0,0,21,0,16.2,0.3,-0.92,0
1,1,1,6,1,1,1,13,14,4,4,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,0
1,1,1,9,1,1,1,13,1,10,10,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,0
1,8,2,12,1,1,1,3,3,2,11,1,0,0,1,1,0,19,0,16.2,0.3,-0.92,0
1,15,1,4,1,14,1,4,5,5,3,0,0,0,1,1,0,21,0,16.2,0.3,-0.92,0
1,16,1,5,1,1,1,27,3,16,22,1,0,0,1,1,0,20,0,8.9,1.4,3.51,0
1,1,1,9,1,1,1,1,1,5,7,0,0,0,0,1,0,18,0,8.9,1.4,3.51,0
1,9,1,3,0,1,1,13,1,10,6,1,0,0,1,0,0,19,0,12.4,0.5,1.79,0
1,1,1,17,0,1,1,2,27,4,10,0,0,0,1,1,0,34,0,13.9,-0.3,0.79,0
1,12,1,1,1,1,1,23,27,10,7,0,0,1,0,1,0,37,0,8.9,1.4,3.51,1
1,12,1,7,1,8,1,19,27,1,1,1,0,0,1,1,0,43,0,7.6,2.6,0.32,1
1,14,1,9,1,1,1,22,27,7,7,0,0,0,1,0,0,55,0,16.2,0.3,-0.92,1
4,12,1,17,0,1,1,13,14,10,4,1,0,0,1,0,0,39,0,7.6,2.6,0.32,0
1,15,1,8,1,14,3,4,4,4,7,0,0,1,0,0,0,20,1,12.4,0.5,1.79,1
1,1,5,15,1,1,1,3,3,3,3,0,0,1,1,0,0,18,0,12.7,3.7,-1.7,1
1,1,2,9,1,1,1,3,14,3,8,1,0,0,1,0,0,22,0,8.9,1.4,3.51,0
1,1,6,12,1,1,1,1,3,3,3,1,1,0,1,0,0,22,0,11.1,0.6,2.02,0
1,8,1,15,1,1,1,1,28,6,6,0,0,0,0,0,0,20,0,12.4,0.5,1.79,1
1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,0,29,0,16.2,0.3,-0.92,1
1,8,1,17,0,1,1,23,28,5,6,0,0,0,1,0,0,24,0,7.6,2.6,0.32,0
1,8,2,10,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,11.1,0.6,2.02,0
1,8,6,12,1,1,1,22,14,8,8,1,0,0,1,0,1,22,0,11.1,0.6,2.02,0
1,15,1,3,0,14,1,1,14,10,10,0,0,0,1,0,1,21,0,12.4,0.5,1.79,0
1,1,1,10,1,1,1,22,28,10,10,0,0,0,1,0,1,19,0,12.7,3.7,-1.7,0
1,12,1,11,1,1,1,13,28,10,8,0,0,0,1,0,1,24,0,12.4,0.5,1.79,0
