drug	drug_action	KDT	KDT_name	Drug_effect	drugKDT
Vigabatrin	inhibitor	18	ABAT	Inhibitor	Vigabatrin18
Probucol	inhibitor	19	ABCA1	Inhibitor	Probucol19
Ponatinib	inhibitor	25	ABL1	Inhibitor	Ponatinib25
Regorafenib	inhibitor	25	ABL1	Inhibitor	Regorafenib25
Nilotinib	inhibitor	25	ABL1	Inhibitor	Nilotinib25
Imatinib	inhibitor	25	ABL1	Inhibitor	Imatinib25
Bosutinib	inhibitor	25	ABL1	Inhibitor	Bosutinib25
Asciminib	inhibitor|allosteric modulator	25	ABL1	Inhibitor	Asciminib25
Dasatinib	multitarget	25	ABL1	Other	Dasatinib25
Sulfasalazine	inhibitor	38	ACAT1	Inhibitor	Sulfasalazine38
Neostigmine	inhibitor	43	ACHE	Inhibitor	Neostigmine43
Pyridostigmine	inhibitor	43	ACHE	Inhibitor	Pyridostigmine43
Edrophonium	inhibitor	43	ACHE	Inhibitor	Edrophonium43
Demecarium	inhibitor	43	ACHE	Inhibitor	Demecarium43
Gallamine triethiodide	inhibitor	43	ACHE	Inhibitor	Gallamine triethiodide43
Pralidoxime	activator	43	ACHE	Activator	Pralidoxime43
Rivastigmine	inhibitor	43	ACHE	Inhibitor	Rivastigmine43
Minaprine	inhibitor	43	ACHE	Inhibitor	Minaprine43
Donepezil	inhibitor	43	ACHE	Inhibitor	Donepezil43
Ambenonium	inhibitor	43	ACHE	Inhibitor	Ambenonium43
Physostigmine	inhibitor	43	ACHE	Inhibitor	Physostigmine43
Galantamine	inhibitor	43	ACHE	Inhibitor	Galantamine43
Bempedoic acid	inhibitor	47	ACLY	Inhibitor	Bempedoic acid47
Sipuleucel-T	other	55	ACP3	Other	Sipuleucel-T55
Human calcitonin	incorporation into and destabilization	87	ACTN1	Other	Human calcitonin87
Pentostatin	inhibitor	100	ADA	Inhibitor	Pentostatin100
Dipyridamole	inhibitor	100	ADA	Inhibitor	Dipyridamole100
Fomepizole	inhibitor	124	ADH1A	Inhibitor	Fomepizole124
Fomepizole	inhibitor	125	ADH1B	Inhibitor	Fomepizole125
Fomepizole	inhibitor	126	ADH1C	Inhibitor	Fomepizole126
Adenosine	agonist	134	ADORA1	Activator	Adenosine134
Theophylline	antagonist	134	ADORA1	Inhibitor	Theophylline134
Aminophylline	antagonist	134	ADORA1	Inhibitor	Aminophylline134
Tramadol	agonist	134	ADORA1	Activator	Tramadol134
Oxtriphylline	antagonist	134	ADORA1	Inhibitor	Oxtriphylline134
Caffeine	antagonist	134	ADORA1	Inhibitor	Caffeine134
Dyphylline	antagonist	134	ADORA1	Inhibitor	Dyphylline134
Pentoxifylline	agonist	135	ADORA2A	Activator	Pentoxifylline135
Regadenoson	agonist	135	ADORA2A	Activator	Regadenoson135
Istradefylline	antagonist	135	ADORA2A	Inhibitor	Istradefylline135
Dyphylline	antagonist	135	ADORA2A	Inhibitor	Dyphylline135
Caffeine	antagonist	135	ADORA2A	Inhibitor	Caffeine135
Theophylline	antagonist	135	ADORA2A	Inhibitor	Theophylline135
Oxtriphylline	antagonist	135	ADORA2A	Inhibitor	Oxtriphylline135
Adenosine	agonist	135	ADORA2A	Activator	Adenosine135
Adenosine	agonist	136	ADORA2B	Activator	Adenosine136
Caffeine	antagonist	136	ADORA2B	Inhibitor	Caffeine136
Enprofylline	antagonist	136	ADORA2B	Inhibitor	Enprofylline136
Theophylline	antagonist	136	ADORA2B	Inhibitor	Theophylline136
Aminophylline	antagonist	140	ADORA3	Inhibitor	Aminophylline140
Adenosine	agonist	140	ADORA3	Activator	Adenosine140
Caffeine	antagonist	140	ADORA3	Inhibitor	Caffeine140
Olaparib	inhibitor	142	PARP1	Inhibitor	Olaparib142
Niraparib	inhibitor	142	PARP1	Inhibitor	Niraparib142
Rucaparib	inhibitor	142	PARP1	Inhibitor	Rucaparib142
Talazoparib	inhibitor	142	PARP1	Inhibitor	Talazoparib142
Silodosin	antagonist	146	ADRA1D	Inhibitor	Silodosin146
Dronedarone	antagonist	146	ADRA1D	Inhibitor	Dronedarone146
Alfuzosin	antagonist	146	ADRA1D	Inhibitor	Alfuzosin146
Norepinephrine	agonist	146	ADRA1D	Activator	Norepinephrine146
Terazosin	antagonist	146	ADRA1D	Inhibitor	Terazosin146
Dapiprazole	antagonist	146	ADRA1D	Inhibitor	Dapiprazole146
Racepinephrine	antagonist	146	ADRA1D	Inhibitor	Racepinephrine146
Doxazosin	antagonist	146	ADRA1D	Inhibitor	Doxazosin146
Droxidopa	agonist	146	ADRA1D	Activator	Droxidopa146
Phenylephrine	agonist	146	ADRA1D	Activator	Phenylephrine146
Prazosin	antagonist	146	ADRA1D	Inhibitor	Prazosin146
Ergotamine	partial agonist	146	ADRA1D	Activator	Ergotamine146
Ergotamine	partial agonist	147	ADRA1B	Activator	Ergotamine147
Brexpiprazole	antagonist	147	ADRA1B	Inhibitor	Brexpiprazole147
Midodrine	agonist	147	ADRA1B	Activator	Midodrine147
Chlorpromazine	antagonist	147	ADRA1B	Inhibitor	Chlorpromazine147
Terazosin	antagonist	147	ADRA1B	Inhibitor	Terazosin147
Prazosin	antagonist	147	ADRA1B	Inhibitor	Prazosin147
Alfuzosin	antagonist	147	ADRA1B	Inhibitor	Alfuzosin147
Silodosin	antagonist	147	ADRA1B	Inhibitor	Silodosin147
Dapiprazole	antagonist	147	ADRA1B	Inhibitor	Dapiprazole147
Racepinephrine	agonist	147	ADRA1B	Activator	Racepinephrine147
Droxidopa	agonist	147	ADRA1B	Activator	Droxidopa147
Dronedarone	antagonist	147	ADRA1B	Inhibitor	Dronedarone147
Phenylephrine	agonist	147	ADRA1B	Activator	Phenylephrine147
Epinephrine	agonist	147	ADRA1B	Activator	Epinephrine147
Norepinephrine	agonist	147	ADRA1B	Activator	Norepinephrine147
Terazosin	antagonist	148	ADRA1A	Inhibitor	Terazosin148
Racepinephrine	agonist	148	ADRA1A	Activator	Racepinephrine148
Benzphetamine	agonist	148	ADRA1A	Activator	Benzphetamine148
Chlorpromazine	antagonist	148	ADRA1A	Inhibitor	Chlorpromazine148
Doxazosin	antagonist	148	ADRA1A	Inhibitor	Doxazosin148
Oxymetazoline	partial agonist	148	ADRA1A	Activator	Oxymetazoline148
Metaraminol	agonist	148	ADRA1A	Activator	Metaraminol148
Isometheptene	agonist	148	ADRA1A	Activator	Isometheptene148
Xylometazoline	agonist|partial agonist	148	ADRA1A	Activator	Xylometazoline148
Epinephrine	agonist	148	ADRA1A	Activator	Epinephrine148
Phenoxybenzamine	antagonist	148	ADRA1A	Inhibitor	Phenoxybenzamine148
Dronedarone	antagonist	148	ADRA1A	Inhibitor	Dronedarone148
Tolazoline	antagonist	148	ADRA1A	Inhibitor	Tolazoline148
Prazosin	antagonist	148	ADRA1A	Inhibitor	Prazosin148
Silodosin	antagonist	148	ADRA1A	Inhibitor	Silodosin148
Phenylephrine	agonist	148	ADRA1A	Activator	Phenylephrine148
Trifluoperazine	antagonist	148	ADRA1A	Inhibitor	Trifluoperazine148
Dipivefrin	agonist	148	ADRA1A	Activator	Dipivefrin148
