name	stability	stability_lower_95ci	stability_upper_95ci	r2_mean	r2_std	r2_25%	r2_75%
map	0.7309412854575936	0.7239781258459104	0.7379044450692769	0.6112521235199481	0.006827698880704836	0.6070362392079839	0.6165777458968811
FoxO signaling pathway: CDKN2B	0.6571919980036338	0.6427693603254874	0.6716146356817803	0.6136246367339335	0.009614512227364173	0.6067526730447521	0.6191493763196996
Cell cycle: RB1	-1.3459131347870468e-05	-0.03899052737350517	0.03896360911080943	0.43266482959662006	0.010708796171362065	0.42653563947251893	0.43935249889591854
Cell cycle: TFDP1 E2F4	0.6494541297821775	0.6335586478880354	0.6653496116763197	0.6034077865037756	0.01238393368430763	0.5949922068828772	0.6104169386597265
Cell cycle: CDC6 ORC3 ORC5 ORC4 ORC2 ORC1 ORC6	0.03355296740767377	-0.011559158645129318	0.07866509346047687	0.4460991124968555	0.00806463174311615	0.44099533677124964	0.45130346432705404
Cell cycle: RB1*	0.608903940430568	0.5852275766513507	0.6325803042097852	0.5752733166797158	0.008020567357753298	0.5692638320806351	0.5801847430085648
p53 signaling pathway: CDK1 CCNB3	0.6835680811020988	0.667689989930015	0.6994461722741825	0.705043886094971	0.008688187578315727	0.7000276063389766	0.7118914276859682
p53 signaling pathway: IGF1	0.7942533171421156	0.7783327380934303	0.8101738961908008	0.6793795889801478	0.007652549693265034	0.6754680543008591	0.6845642803606302
p53 signaling pathway: CDK4 CCND1	0.6990932738289035	0.6792094659110224	0.7189770817467847	0.5969339909485005	0.010309152801861392	0.5899455345781337	0.6052397302338366
p53 signaling pathway: CDK2 CCNE1	0.6846407816191318	0.6591777243059425	0.7101038389323211	0.5079951401256839	0.008515517208612947	0.5015463491715704	0.5136002019307098
p53 signaling pathway: CASP3	0.733537099684653	0.714767008472032	0.7523071908972739	0.6466295582869473	0.008324428785910578	0.6404800518283095	0.653255449431152
p53 signaling pathway: RPRM	0.4934244058716204	0.45783106572419546	0.5290177460190453	0.5002619936615696	0.01104492722474693	0.4927014747060039	0.5073039587533212
p53 signaling pathway: GTSE1	0.6660714243376293	0.6529727620721818	0.6791700866030769	0.7526714470198408	0.011031660845904057	0.7455466670098281	0.7609991852002375
p53 signaling pathway: FAS	0.5996514599632947	0.5850018241649999	0.6143010957615895	0.6461290654236868	0.018821505033385727	0.6320010082881649	0.6607144570768615
p53 signaling pathway: PIDD1	0.7350226204466099	0.7135594672614307	0.7564857736317891	0.5685681796907318	0.006991432578356678	0.5634751917689357	0.5728602742994378
p53 signaling pathway: BAX	0.664167454436224	0.6490368027277239	0.6792981061447242	0.6100039192763027	0.006434762958792118	0.606466094800534	0.6142630026815823
p53 signaling pathway: PMAIP1	0.6407714583344766	0.6258726177100374	0.6556702989589157	0.6520818677508005	0.016443461413543217	0.6389457521163321	0.66365643293844
p53 signaling pathway: EI24	0.7081162205569276	0.6925393208681409	0.7236931202457143	0.6187165595988346	0.007042011033985669	0.6129803053077351	0.6234759917712478
p53 signaling pathway: SHISA5	0.7268370463771865	0.7094081418106397	0.7442659509437333	0.6100614431923338	0.006813235597761742	0.6063169008242181	0.6137755028649625
p53 signaling pathway: PERP	0.6475007060701576	0.6373566461282602	0.6576447660120551	0.761574109689629	0.007455346232017979	0.75740313678815	0.7668485599102586
p53 signaling pathway: ZMAT3	0.46568123685253926	0.42336895057640056	0.507993523128678	0.5186486431408315	0.007111204782099139	0.5131254715834437	0.5233212780844283
p53 signaling pathway: SERPINE1	0.7502709937688261	0.7345154727756457	0.7660265147620066	0.6158735266457179	0.006686382650564688	0.6120403504381311	0.6200688428982621
