circuit_name,ABAT,AGTR1,AHR,ALOX5,ANXA2,BST1,BTK,C5AR1,CA12,CACNA1B,CACNA1C,CACNA1S,CD3E,CD247,CD4,CDA,CD52,CHRNA4,CHRNB2,CNR2,CSF2RB,CSF3R,TYMP,EGFR,EZH2,FCER1G,FCGR2A,FCGR3B,FGFR3,GHR,HBA1,HBB,HMGCR,ICAM1,IFNAR2,IFNG,IL1B,IL1R1,IL2RB,IL2RG,ITGAL,JAK3,KCNA3,KCNC1,KRT2,LCK,LPL,LTA,TACSTD2,MST1R,NFKB1,NNMT,NPR1,PIK3CD,PIK3CG,PLAT,PPARG,PSMB8,PSMB9,PSMB10,PTAFR,RYR1,SCN1B,SCN2A,SCN4A,SCN8A,PMEL,SLC5A1,SRD5A1,AKR1D1,ELOVL4,SYK,TFPI,TGFB1,TNF,TNFRSF1A,TYK2,TYR,VDR,VEGFA,VWF,AOC3,IL1RL2,HCAR3,TUBB3,HRH3,S1PR5,SLC12A5,SLAMF7,NOD2,DGAT2,VKORC1L1,HCAR2
Fanconi anemia pathway: FANCM STRA13,-0.46932505242941713,0.0,0.22076684089060594,-0.0,0.19279345238624104,-0.0,0.0,-0.0,0.0,-0.12703999744321479,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.17859513697605944,-0.26952313387583293,0.0,-0.0,-0.11902837042944135,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.07796499539917995,0.050866270070382844,-0.0,-0.0,-0.0,-0.25130955305607394,0.0,0.0,-0.024760128066988886,0.0,0.0,0.0,0.18661452995162794,0.0,0.0,0.0,0.0,-0.0,0.038226046197033965,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.4148930718016813,-0.0,-0.10123499552179559,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.01834957486272603,0.1510707478497703,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.22465142947184571,0.0,-0.2043426255261261,0.0,0.0,0.0,0.0,0.11944520063715808
Fanconi anemia pathway: FANCM C19orf40,-0.0,0.0,0.215467043087275,-0.0,0.20271291488674245,-0.0,0.0,-0.0,0.0,-0.11788621323503819,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.16474686472009695,-0.2348628481807702,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.09836732958318807,0.06868173974393127,0.0,-0.0,-0.0,-0.25639408158594706,0.0,0.0,-0.039357349593680986,0.0,0.0,0.0,0.1714326030823173,0.0,0.0,0.0,0.0,-0.0,0.03658807836612505,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.38657392222451586,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.014526018227444058,0.1561052310400257,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.20810048122224045,0.0,-0.17809488846267146,0.09509046927956664,0.0,0.0,0.0,0.12221864873538582
Fanconi anemia pathway: MLH1 PMS2,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Fanconi anemia pathway: BRCA1,-0.0,0.0,0.23331157935467475,-0.0,0.19519372593521933,-0.0,0.19090545899092842,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.12075390202034214,-0.16412426941462566,-0.223472744617289,0.0,-0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.10890790955785644,0.10126938296093772,0.08337281925107025,-0.0,0.0,-0.2757899891369646,0.0,0.11074121366925557,-0.04425835933030569,0.0,0.0,0.0,0.1739256344739148,0.0,-0.0,0.10150772491817614,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.4091027635765584,-0.044400438786919884,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.02067676500472878,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.2335785567406865,0.0,-0.18109215785957145,0.11819162069743071,0.0,0.0,0.0,0.09186711563368456
Fanconi anemia pathway: RAD51C,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.005666691703088863,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.04859049132975234,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.005077924865602418,0.0041654808030269315,0.0,0.0,0.0,-0.0,0.0,0.0,-0.000995416569941487,0.0,0.0,0.0,0.005254411842488435,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0017689406469260228,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0010241681176744852,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.007372795637752972,0.014794765121712378,0.0,0.0,0.006099617779895339
Fanconi anemia pathway: RAD51,-0.0,-0.0,0.0,0.006626947834304969,0.0,-0.0,0.006611330227950737,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.007769136285198387,-0.0055533411278623065,-0.0,0.0,0.0,0.0,0.0,-0.0,0.06347209044601214,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.007501215597626024,0.007126521378831553,0.005091871728250366,0.0,0.0,-0.0,0.0,0.006237296403773049,-0.0013488823590562687,0.0,0.0,0.021629689495284377,0.006255889223964559,0.0,-0.0,0.004881942459027804,0.0,-0.0,0.0,0.009747966638309806,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0015896868236251129,-0.0,0.0,0.0,0.02427253499474105,0.0,-0.0,0.0,0.0,0.008754574645725002,0.0,-0.0,0.0,-0.005000049349974191,0.00966742925732373,0.017860029196651386,0.0,0.0,0.006653132496136519
Fanconi anemia pathway: FANCI,-0.0,0.0,0.006504120757707432,0.0,0.006061835624847435,0.0,0.0,0.0,0.0,-0.0038104245724761587,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.005714628172612246,-0.007953034078909522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.001933009755344071,0.0,-0.0,0.0,-0.0,-0.007578235329547873,0.0,0.0,-0.0011111322136811463,-0.0,0.0,0.0,0.00585316266185513,0.0,0.0,0.0,0.0,-0.0,0.0012143234896478494,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00044597337666523915,0.005205678124112992,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.006676998149994013,0.0,-0.005662199055444469,0.0,0.0,0.0,0.0,0.003823567464378641
MAPK signaling pathway: MAP3K2,-0.0,0.0,0.3789743865852283,0.6662781701952479,0.0,1.0,0.6514133020575913,1.0,0.0,-0.3148982979829384,-1.0,0.0,0.0,0.0,0.0,1.0,0.40604900188232057,-0.0,-0.0,0.0,0.6609576806193593,0.8398314889038588,0.0,-0.0,0.0,0.0,0.0,1.0,-0.0,0.11585286940553158,1.0,0.0,0.0,0.0,0.9641174123266277,-0.0,0.0,0.0,0.0,0.4742496829070848,0.43011666599051324,0.7159319770082945,0.0,-0.0,-0.0,0.3189765075846094,0.06420154747175394,0.0,0.0,0.0,0.358322963740623,0.0,0.0,0.6173878055718747,0.0,-0.0,0.09093317720913191,0.0,0.6104862756591914,0.0,0.0,0.0,0.0,-0.0,0.08999713179168342,-0.24473254833486557,-0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,1.0,0.08861034351764831,0.0,0.9246701086639099,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.2903895229268698,0.0,0.0,0.0,0.0,0.0
MAPK signaling pathway: JUND,0.0,0.0,-0.0,-0.0,-0.08727144340384341,0.0,0.0,0.0,0.0,0.08198398300487955,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.03679926657461438,-0.05357701718361936,0.0,0.0,-0.0,0.0,0.0,0.0,-0.021953202864357677,0.0,0.0,0.0,-0.0627466067707922,-0.0,-0.0,0.0,0.0,-0.0,-0.022794016706976457,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.29278256127746377,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.017631194934451557,-0.0,0.0,0.2309335495201684,0.0,-0.0,-0.0,-0.06918015924833455,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
MAPK signaling pathway: JUN,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.035059019909733646,-0.04738654209521148,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.018561014240073847,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.02133588140561845,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.31803532591607986,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.016559290629867177,-0.0,0.0,0.2535422472720519,0.0,0.0,-0.0,-0.05895027157323942,0.0,0.0,0.0,0.0,0.0,0.0,-0.04878957297510193,0.0,0.0,-0.0,-0.0
